german,english,part_of_speech,gender,plural,level,frequency_rank
Garage,garage,noun,die,Garagen,A2,672
Garten,garden,verb,,,A2,673
Gast,guest,noun,der,Gäste,A2,674
geehrt,honored,adjective,,,A2,675
gefährlich,dangerous,adjective,,,A2,676
gefallen,to please,verb,,,A2,677
fleißig,diligent,adjective,,,A2,678
Flohmarkt,Flea market,noun,der,Flohmärkte,A2,679
Flug,flight,noun,der,Flüge,A2,680
Flugzeug,airplane,noun,das,Flugzeuge,A2,681
Fluss,river,noun,der,Flüsse,A2,682
Formular,Form,noun,das,Formulare,A2,683
fotografieren,to take a photograph,verb,,,A2,684
Frage,question,noun,die,Fragen,A2,685
fragen,to ask,verb,,,A2,686
Frau,woman,noun,die,Frauen,A2,687
freiwillig,voluntary,adjective,,,A2,688
fremd,foreign,adjective,,,A2,689
Freund,friend,noun,der,Freunde,A2,690
freundlich,friendly,adjective,,,A2,691
frisch,fresh,adjective,,,A2,692
froh,happy,adjective,,,A2,693
früh,early,adjective,,,A2,694
gewinnen,to win,verb,,,A2,695
Gewitter,thunderstorm,noun,das,Gewitter,A2,696
Gitarre,guitar,noun,die,Gitarren,A2,697
glauben,to believe,verb,,,A2,698
gleich,same,adjective,,,A2,699
Gleis,track or railway track,noun,das,Gleise,A2,700
glücklich,happy,adjective,,,A2,701
Wunsch,wish,noun,der,Wünsche,A2,702
grillen,to grill,verb,,,A2,703
groß,big,adjective,,,A2,704
Gruppe,group,noun,die,Gruppen,A2,705
Gruß,greeting,noun,der,Grüße,A2,706
günstig,favorable,adjective,,,A2,707
Haar,hair (referring to a single strand or the collective mass of hair on the head or body),noun,das,Haare,A2,708
haben,to have,verb,,,A2,709
Gegenteil,opposite,noun,das,Gegenteile,A2,710
gegenüber,opposite,adjective,,,A2,711
gehen,to go,verb,,,A2,712
Geldbörse,wallet,noun,die,Geldbörsen,A2,713
genau,exactly,adjective,,,A2,714
genug,enough,adjective,,,A2,715
gerade,straight,adjective,,,A2,716
Gerät,device,noun,das,Geräte,A2,717
Gericht,dish,noun,das,Gerichte,A2,718
Geschäft,business,noun,das,Geschäfte,A2,719
Geschenk,gift,noun,das,Geschenke,A2,720
Gesicht,face,noun,das,Gesichter,A2,721
Gespräch,conversation,noun,das,Gespräche,A2,722
gestern,yesterday,verb,,,A2,723
gesund,healthy,adjective,,,A2,724
Getränk,drink,noun,das,Getränke,A2,725
Herd,Stove or cooking range,noun,der,Herde,A2,726
herstellen,to produce,verb,,,A2,727
heute,today,adverb,,,A2,728
hinten,at/in the back,verb,,,A2,729
Hobby,hobby,noun,das,Hobbys,A2,730
hoch,high,adjective,,,A2,731
Hochzeit,wedding,noun,die,Hochzeiten,A2,732
hoffen,to hope,verb,,,A2,733
hoffentlich,hopefully,adjective,,,A2,734
Hotel,hotel,noun,das,Hotels,A2,735
Husten,to cough (to expel air from the lungs suddenly and loudly,verb,,,A2,736
Halle,hall,noun,die,Hallen,A2,737
Hals,neck,noun,der,Hälse,A2,738
halten,to hold,verb,,,A2,739
Haltestelle,bus stop,noun,die,Haltestellen,A2,740
Hand,hand (a body part at the end of the arm),noun,die,Hände,A2,741
hängen,to hang,verb,,,A2,742
hart,hard,adjective,,,A2,743
hässlich,ugly,adjective,,,A2,744
Hauptstadt,capital city,noun,die,Hauptstädte,A2,745
Haushalt,household,noun,der,Haushalte,A2,746
heiraten,to marry,verb,,,A2,747
heißen,to be called,verb,,,A2,748
hell,bright,adjective,,,A2,749
Hemd,shirt,noun,das,Hemden,A2,750
Junge,boy,noun,der,Jungen,A2,751
Kaffee,coffee,noun,der,Kaffees,A2,752
Kalender,calendar,noun,der,Kalender,A2,753
kalt,cold,adjective,,,A2,754
Kamera,camera,noun,die,Kameras,A2,755
kaputt,broken,adjective,,,A2,756
Karte,card,noun,die,Karten,A2,757
Kartoffel,potato,noun,die,Kartoffeln,A2,758
Kasse,cash register,noun,die,Kassen,A2,759
kaufen,to buy,verb,,,A2,760
kennen,to know,verb,,,A2,761
kennenlernen,to get to know,verb,,,A2,762
Kette,chain,noun,die,Ketten,A2,763
Idee,idea,noun,die,Ideen,A2,764
immer,always,adverb,,,A2,765
in,in,preposition,,,A2,766
informieren,to inform,verb,,,A2,767
Insel,island,noun,die,Inseln,A2,768
intelligent,intelligent,adjective,,,A2,769
Interesse,interest,noun,das,Interessen,A2,770
interessiert,interested,adjective,,,A2,771
interessant,interesting,adjective,,,A2,772
international,international,adjective,,,A2,773
Interview,An interview,noun,das,Interviews,A2,774
ja,yes,adjective,,,A2,775
Jacke,jacket,noun,die,Jacken,A2,776
jeder,each,adjective,,,A2,777
jetzt,now,adjective,,,A2,778
kostenlos,free,adjective,,,A2,779
krank,ill,adjective,,,A2,780
Haus,house,noun,das,Häuser,A2,781
Kredit,credit,noun,der,Kredite,A2,782
Kreuzung,Crossroads,noun,die,Kreuzungen,A2,783
kriegen,to get,verb,,,A2,784
Krimi,crime novel,noun,der,Krimis,A2,785
Küche,kitchen,noun,die,Küchen,A2,786
Kuchen,cake,verb,,,A2,787
kühl,cool,adjective,,,A2,788
Schrank,cabinet or wardrobe,noun,der,Schränke,A2,789
Kultur,culture,noun,die,Kulturen,A2,790
Kunde,customer,noun,der,Kunden,A2,791
kündigen,to terminate,verb,,,A2,792
Kunst,Art,noun,die,Künste,A2,793
Kurs,course,noun,der,Kurse,A2,794
kurz,short,adjective,,,A2,795
lachen,to laugh,verb,,,A2,796
Laden,to load,verb,,,A2,797
Lampe,lamp,noun,die,Lampen,A2,798
Land,country,noun,das,Länder,A2,799
Kiosk,kiosk,noun,der,Kioske,A2,800
Kirche,church,noun,die,Kirchen,A2,801
klappen,to succeed,verb,,,A2,802
Klavier,piano,noun,das,Klaviere,A2,803
Kleid,dress,noun,das,Kleider,A2,804
klein,small,adjective,,,A2,805
klug,clever,adjective,,,A2,806
kochen,to cook,verb,,,A2,807
komisch,strange,adjective,,,A2,808
kommen,to come,verb,,,A2,809
können,to be able to,verb,,,A2,810
Kontakt,contact,noun,der,Kontakte,A2,811
Konto,account (financial or banking account),noun,das,Konten,A2,812
kontrollieren,to control,verb,,,A2,813
Konzert,concert,noun,das,Konzerte,A2,814
Körper,body,noun,der,Körper,A2,815
kosten,to cost,verb,,,A2,816
links,on/to the left,adjective,,,A2,817
Löffel,spoon,noun,der,Löffel,A2,818
lügen,to lie,verb,,,A2,819
Mädchen,girl,verb,,,A2,820
Magen,stomach,verb,,,A2,821
malen,to paint,verb,,,A2,822
manchmal,sometimes,adjective,,,A2,823
Mann,man (a male adult human being),noun,,,A2,824
männlich,masculine,adjective,,,A2,825
Markt,market,noun,der,Märkte,A2,826
Maschine,machine,noun,die,Maschinen,A2,827
Meer,sea,noun,das,Meere,A2,828
mehr,more,adjective,,,A2,829
Meinung,opinion,noun,die,Meinungen,A2,830
meist,most,adjective,,,A2,831
langweilig,boring,adjective,,,A2,832
laufen,to run,verb,,,A2,833
laut,loudly/loud,adjective,,,A2,834
Leben,to live,verb,,,A2,835
leer,empty,adjective,,,A2,836
legen,to lay or to put,verb,,,A2,837
leicht,easy,adjective,,,A2,838
leider,unfortunately,adjective,,,A2,839
leise,quiet,adjective,,,A2,840
lesen,to read,verb,,,A2,841
lieb,dear,adjective,,,A2,842
Lied,song,noun,das,Lieder,A2,843
liefern,to deliver,verb,,,A2,844
liegen,to lie,verb,,,A2,845
Moment,moment (a brief period of time or a particular instant),noun,der,Momente,A2,846
Motor,engine,noun,der,Motoren,A2,847
müde,tired,adjective,,,A2,848
Mund,mouth,noun,der,Münder,A2,849
Museum,museum,noun,das,Museen,A2,850
müssen,to have to,verb,,,A2,851
nach,after,preposition,,,A2,852
Nachbar,neighbor,noun,der,Nachbarn,A2,853
Nachricht,message,noun,die,Nachrichten,A2,854
nass,wet,adjective,,,A2,855
natürlich,naturally,adjective,,,A2,856
neben,to coordinate or place alongside,verb,,,A2,857
nebenan,next door,verb,,,A2,858
neblig,foggy,adjective,,,A2,859
Menge,quantity,noun,die,Mengen,A2,860
Mensch,human being,noun,der,Menschen,A2,861
merken,to notice,verb,,,A2,862
Messer,knife,noun,das,Messer,A2,863
mieten,to rent,verb,,,A2,864
mindestens,at least,adjective,,,A2,865
Mitarbeiter,employee,noun,der,Mitarbeiter,A2,866
Mitte,center,noun,die,Mitten,A2,867
modern,to modernize,verb,,,A2,868
mögen,to like,verb,,,A2,869
möglich,possible,adjective,,,A2,870
öffnen,to open,verb,,,A2,871
ohne,without,preposition,,,A2,872
Ordnung,order,noun,die,Ordnungen,A2,873
organisieren,to organize,verb,,,A2,874
Paar,pair,noun,das,Paare,A2,875
packen,to pack,verb,,,A2,876
Papier,paper (material used for writing or printing),noun,das,Papiere,A2,877
Parfüm,perfume,noun,das,Parfüms,A2,878
Park,park,noun,der,Parks,A2,879
Partner,partner (a person who shares an activity or business with another),noun,der,Partner,A2,880
Party,party,noun,die,Partys or Parties,A2,881
Pass,passport,noun,der,Pässe,A2,882
passen,to fit,verb,,,A2,883
nein,no,verb,,,A2,884
nennen,to name,verb,,,A2,885
nervös,nervous,adjective,,,A2,886
nett,nice,adjective,,,A2,887
nicht,Not,adjective,,,A2,888
nichts,nothing,adjective,,,A2,889
niemand,nobody,adjective,,,A2,890
nirgends,nowhere,adjective,,,A2,891
noch,still,adjective,,,A2,892
normal,normal,adjective,,,A2,893
Note,note,noun,die,Noten,A2,894
notieren,to note,verb,,,A2,895
Notiz,note,noun,die,Notizen,A2,896
notwendig,necessary,adjective,,,A2,897
Nummer,number,noun,die,Nummern,A2,898
nützlich,useful,adjective,,,A2,899
oben,above,verb,,,A2,900
Projekt,project,noun,das,Projekte,A2,901
Prospekt,brochure,noun,der,Prospekte,A2,902
prüfen,to check,verb,,,A2,903
Prüfung,examination or test,noun,die,Prüfungen,A2,904
Pullover,sweater,noun,der,Pullover,A2,905
pünktlich,on time,adjective,,,A2,906
putzen,to clean,verb,,,A2,907
Qualität,quality,noun,die,Qualitäten,A2,908
Radio,Radio (device for receiving and playing back broadcast audio signals),noun,das,Radios,A2,909
raten,to advise,verb,,,A2,910
Rathaus,city hall,noun,das,Rathäuser,A2,911
Rätsel,riddle,noun,das,Rätsel,A2,912
Raum,room,noun,der,Räume,A2,913
rechnen,to calculate,verb,,,A2,914
Rechnung,bill,noun,die,Rechnungen,A2,915
rechts,to the right,adjective,,,A2,916
reden,to talk,verb,,,A2,917
regnen,to rain,verb,,,A2,918
reich,rich,adjective,,,A2,919
Reifen,to ripen,verb,,,A2,920
Reihe,row,noun,die,Reihen,A2,921
Reinigung,Cleaning or dry cleaner's (a place where clothes are cleaned),noun,die,Reinigungen,A2,922
Pause,break,noun,die,Pausen,A2,923
Person,person,noun,,,A2,924
Pflanze,plant,noun,die,Pflanzen,A2,925
Pizza,Pizza,noun,die,Pizzen,A2,926
Plakat,poster,noun,das,Plakate,A2,927
Plan,to plan,verb,,,A2,928
planen,to plan,verb,,,A2,929
Platz,place,noun,der,Plätze,A2,930
plötzlich,suddenly,adjective,,,A2,931
Portion,to portion out,verb,,,A2,932
Zahl,number,noun,die,Zahlen,A2,933
Praktikum,internship,noun,das,Praktika,A2,934
praktisch,practical,adjective,,,A2,935
Praxis,medical practice or doctor's office,noun,die,Praxen,A2,936
Preis,price,noun,der,Preise,A2,937
preiswert,affordable,adjective,,,A2,938
privat,private,adjective,,,A2,939
Produkt,product,noun,das,Produkte,A2,940
Programm,program,noun,das,Programme,A2,941
rund,round,adjective,,,A2,942
Sache,thing,noun,die,Sachen,A2,943
sammeln,to collect,verb,,,A2,944
Satz,sentence,noun,der,Sätze,A2,945
sauer,sour,adjective,,,A2,946
schade,too bad,adjective,,,A2,947
schädlich,harmful,adjective,,,A2,948
schaffen,to create,verb,,,A2,949
scharf,sharp,adjective,,,A2,950
scheinen,to seem,verb,,,A2,951
Schere,scissors,noun,die,Scheren,A2,952
schicken,to send,verb,,,A2,953
Schiff,ship,noun,das,Schiffe,A2,954
schimpfen,to scold,verb,,,A2,955
Schirm,umbrella,noun,der,Schirme,A2,956
schlafen,to sleep,verb,,,A2,957
Reise,journey,noun,die,Reisen,A2,958
Reisebüro,travel agency,noun,das,Reisebüros,A2,959
reisen,to travel,verb,,,A2,960
Reparatur,repair,noun,die,Reparaturen,A2,961
reparieren,to repair,verb,,,A2,962
reservieren,to reserve,verb,,,A2,963
Rest,remainder,noun,der,Reste,A2,964
Restaurant,restaurant,noun,das,Restaurants,A2,965
Rezept,recipe,noun,das,Rezepte,A2,966
riechen,to smell,verb,,,A2,967
Rind,cattle,noun,das,Rinder,A2,968
Ring,ring (a circular band worn on the finger,noun,der,Ringe,A2,969
Rock,skirt,noun,der,Röcke,A2,970
Rose,rose (a type of flowering plant),noun,die,Rosen,A2,971
Rücken,to move or shift,verb,,,A2,972
Rucksack,backpack,noun,der,Rucksäcke,A2,973
rufen,to call,verb,,,A2,974
ruhig,calm/quiet,adjective,,,A2,975
schwach,weak,adjective,,,A2,976
schwierig,difficult,adjective,,,A2,977
schwimmen,to swim,verb,,,A2,978
sehen,to see,verb,,,A2,979
Seife,soap,noun,die,Seifen,A2,980
seit,since,preposition,,,A2,981
Seite,side,noun,die,Seiten,A2,982
selbst,oneself,adjective,,,A2,983
Sendung,broadcast,noun,die,Sendungen,A2,984
schlecht,bad,adjective,,,A2,985
schließen,to close,verb,,,A2,986
schlimm,bad,adjective,,,A2,987
Schloss,castle,noun,das,Schlösser,A2,988
Schluss,end,noun,der,Schlüsse,A2,989
Schlüssel,key (a device used to operate a lock),noun,der,Schlüssel,A2,990
schmutzig,dirty,adjective,,,A2,991
schneien,to snow,verb,,,A2,992
Schokolade,chocolate,noun,die,Schokoladen,A2,993
schrecklich,terrible/awful,adjective,,,A2,994
schreiben,to write,verb,,,A2,995
schriftlich,in writing/written,adjective,,,A2,996
Schule,school,noun,die,Schulen,A2,997
spielen,to play,verb,,,A2,998
sportlich,sporty,adjective,,,A2,999
Sprache,language,noun,die,Sprachen,A2,1000
Schüler,student,noun,der,Schüler,B1,1001
parken,to park,verb,,,B1,1002
parkieren,to park,verb,,,B1,1003
Treppe,staircase,noun,die,Treppen,B1,1004
Stiege,staircase,noun,die,Stiegen,B1,1005
Aufgabe,task,noun,die,Aufgaben,B1,1006
Anzeige,Advertisement,noun,die,Anzeigen,B1,1007
richtig,correct,adjective,,,B1,1008
Durchsage,announcement,noun,die,Durchsagen,B1,1009
lösen,to solve,verb,,,B1,1010
Lösung,solution,noun,die,Lösungen,B1,1011
Präsentation,to present (to introduce or display something formally),verb,,,B1,1012
Punkt,point,noun,der,Punkte,B1,1013
hell,bright,adjective,,,B1,1014
Orange,Orange (the fruit or the color),noun,die,Orangen,B1,1015
einmal,once,adjective,,,B1,1016
einfach,simple,adjective,,,B1,1017
Stunde,hour,noun,die,Stunden,B1,1018
abschreiben,to copy,verb,,,B1,1019
ablehnen,to reject,verb,,,B1,1020
abmachen,to remove,verb,,,B1,1021
abnehmen,to lose weight,verb,,,B1,1022
abonnieren,to subscribe,verb,,,B1,1023
absagen,to cancel,verb,,,B1,1024
ab,away from or off,preposition,,,B1,1025
absolut,absolute,adjective,,,B1,1026
abstimmen,to vote,verb,,,B1,1027
abwärts,downwards,adjective,,,B1,1028
abwaschen,to wash off,verb,,,B1,1029
abwesend,absent,adjective,,,B1,1030
achten,to pay attention,verb,,,B1,1031
abbiegen,to turn off or change direction,verb,,,B1,1032
aber,but,conjunction,,,B1,1033
abfahren,to depart,verb,,,B1,1034
abgeben,to hand in,verb,,,B1,1035
abhängen,to depend on,verb,,,B1,1036
abhängig,dependent,adjective,,,B1,1037
abheben,to withdraw,verb,,,B1,1038
abholen,to pick up,verb,,,B1,1039
wichtig,important,adjective,,,B1,1040
gehen,to go,verb,,,B1,1041
alltäglich,everyday,adjective,,,B1,1042
also,therefore,adjective,,,B1,1043
alternativ,alternative,adjective,,,B1,1044
sich amüsieren,to have a good time,verb,,,B1,1045
an,at,preposition,,,B1,1046
analysieren,to analyze,verb,,,B1,1047
anbieten,to offer,verb,,,B1,1048
ähnlich,similar,adjective,,,B1,1049
aktiv,active,adjective,,,B1,1050
aktuell,current,adjective,,,B1,1051
akzeptieren,to accept,verb,,,B1,1052
allein,to leave alone,verb,,,B1,1053
allerdings,however,adjective,,,B1,1054
allgemein,general,adjective,,,B1,1055
langweilig,boring,adjective,,,B1,1056
helfen,to help,verb,,,B1,1057
reinigen,to clean,verb,,,B1,1058
kochen,to cook,verb,,,B1,1059
ängstlich,anxious,adjective,,,B1,1060
anhaben,to wear,verb,,,B1,1061
anklicken,to click on,verb,,,B1,1062
ankommen,to arrive,verb,,,B1,1063
ankündigen,to announce,verb,,,B1,1064
anmelden,to register,verb,,,B1,1065
annehmen,to accept,verb,,,B1,1066
anrufen,to call,verb,,,B1,1067
andererseits,on the other hand,adjective,,,B1,1068
ändern,to change,verb,,,B1,1069
anders,differently,adjective,,,B1,1070
anerkennen,to recognize,verb,,,B1,1071
anfangen,to start,verb,,,B1,1072
anfangs,initially,adjective,,,B1,1073
angeben,to specify,verb,,,B1,1074
angenehm,pleasant,adjective,,,B1,1075
meinen,to mean,verb,,,B1,1076
vergessen,to forget,verb,,,B1,1077
dagegen,to oppose,verb,,,B1,1078
anzeigen,to indicate,verb,,,B1,1079
sich anziehen,to get dressed,verb,,,B1,1080
arbeiten,to work,verb,,,B1,1081
arbeitslos,unemployed,adjective,,,B1,1082
anschaffen,to acquire,verb,,,B1,1083
anschließen,to connect,verb,,,B1,1084
anschnallen,to buckle up,verb,,,B1,1085
ansehen,to look at,verb,,,B1,1086
ansprechen,to address,verb,,,B1,1087
anstellen,to hire,verb,,,B1,1088
sich anstrengen,to make an effort,verb,,,B1,1089
anstrengend,tiring,adjective,,,B1,1090
anwenden,to apply,verb,,,B1,1091
anwesend,present,adjective,,,B1,1092
antworten,to answer,verb,,,B1,1093
sprechen,to speak,verb,,,B1,1094
bekommen,to receive,verb,,,B1,1095
bei,at,preposition,,,B1,1096
haben,to have,verb,,,B1,1097
auffallen,to stand out,verb,,,B1,1098
auffordern,to request,verb,,,B1,1099
aufführen,to perform,verb,,,B1,1100
aufgeben,to give up,verb,,,B1,1101
aufhalten,to stop,verb,,,B1,1102
aufheben,to lift up,verb,,,B1,1103
aufhören,to stop,verb,,,B1,1104
aufladen,to charge,verb,,,B1,1105
auflösen,to dissolve,verb,,,B1,1106
aufmerksam,attentive,adjective,,,B1,1107
aufnehmen,to record,verb,,,B1,1108
sich ärgern,to be annoyed,verb,,,B1,1109
ärgerlich,annoying,adjective,,,B1,1110
atmen,to breathe,verb,,,B1,1111
auch,also,adjective,,,B1,1112
schließen,to close,verb,,,B1,1113
ausgebildet,trained,adjective,,,B1,1114
ausdrucken,to print out,verb,,,B1,1115
auseinander,apart,adjective,,,B1,1116
ausfallen,to fail,verb,,,B1,1117
ausfüllen,to fill out,verb,,,B1,1118
ausgeben,to spend,verb,,,B1,1119
ausgezeichnet,excellent,adjective,,,B1,1120
aufpassen,to pay attention,verb,,,B1,1121
aufräumen,to clean up,verb,,,B1,1122
aufregen,to get excited or upset,verb,,,B1,1123
aufstehen,to stand up,verb,,,B1,1124
auftreten,to occur,verb,,,B1,1125
aufwachen,to wake up,verb,,,B1,1126
aufwärts,upwards,adjective,,,B1,1127
aus,out of,preposition,,,B1,1128
Land,country,noun,das,Länder,B1,1129
aussprechen,to pronounce,verb,,,B1,1130
ausstellen,to exhibit,verb,,,B1,1131
auswählen,to select,verb,,,B1,1132
ausziehen,to move out,verb,,,B1,1133
automatisch,automatically,adjective,,,B1,1134
ausländisch,foreign,adjective,,,B1,1135
ausmachen,to turn off,verb,,,B1,1136
ausreichen,to be sufficient,verb,,,B1,1137
ausreichend,sufficient,adjective,,,B1,1138
ausrichten,to align,verb,,,B1,1139
sich ausruhen,to rest,verb,,,B1,1140
ausschließen,to exclude,verb,,,B1,1141
ausschließlich,exclusively,adjective,,,B1,1142
aussehen,to look,verb,,,B1,1143
außen,outside,verb,,,B1,1144
außerhalb,outside,adjective,,,B1,1145
äußerlich,external,adjective,,,B1,1146
außer,outside,adjective,,,B1,1147
außerdem,in addition,adjective,,,B1,1148
basteln,to tinker,verb,,,B1,1149
bauen,to build,verb,,,B1,1150
beachten,to consider,verb,,,B1,1151
beantragen,to apply for,verb,,,B1,1152
beantworten,to answer,verb,,,B1,1153
sich bedanken,to express thanks,verb,,,B1,1154
bedeuten,to mean,verb,,,B1,1155
backen,to bake,verb,,,B1,1156
baden,to bathe,verb,,,B1,1157
bald,soon,adjective,,,B1,1158
möglich,possible,adjective,,,B1,1159
tanzen,to dance,verb,,,B1,1160
zahlen,to pay,verb,,,B1,1161
behaupten,to claim,verb,,,B1,1162
behindern,to hinder,verb,,,B1,1163
beinahe,almost,adjective,,,B1,1164
beißen,to bite,verb,,,B1,1165
bekannt,well-known,adjective,,,B1,1166
bedienen,to serve,verb,,,B1,1167
sich beeilen,to hurry,verb,,,B1,1168
beenden,to end,verb,,,B1,1169
sich befinden,to be located,verb,,,B1,1170
befreit,liberated,adjective,,,B1,1171
befriedigend,satisfactory,adjective,,,B1,1172
begegnen,to meet,verb,,,B1,1173
begeistert,enthusiastic,adjective,,,B1,1174
beginnen,to begin,verb,,,B1,1175
begleiten,to accompany,verb,,,B1,1176
begrenzt,limited,adjective,,,B1,1177
begründen,to justify,verb,,,B1,1178
begrüßen,to greet,verb,,,B1,1179
behalten,to keep,verb,,,B1,1180
behandeln,to treat,verb,,,B1,1181
stören,to disturb,verb,,,B1,1182
einverstanden,in agreement,verb,,,B1,1183
nicht,Not,adjective,,,B1,1184
machen,to make,verb,,,B1,1185
berichten,to report,verb,,,B1,1186
beruflich,professionally,adjective,,,B1,1187
berufstätig,employed,adjective,,,B1,1188
beruhigen,to calm down,verb,,,B1,1189
berühmt,famous,adjective,,,B1,1190
beschädigen,to damage,verb,,,B1,1191
beschäftigen,to occupy,verb,,,B1,1192
beschließen,to decide,verb,,,B1,1193
beschränken,to limit or restrict,verb,,,B1,1194
beschreiben,to describe,verb,,,B1,1195
sich beschweren,to complain,verb,,,B1,1196
beleidigen,to insult,verb,,,B1,1197
beliebt,popular,adjective,,,B1,1198
bemerken,to notice,verb,,,B1,1199
sich bemühen,to make an effort,verb,,,B1,1200
benötigen,to need,verb,,,B1,1201
benutzen,to use,verb,,,B1,1202
beobachten,to observe,verb,,,B1,1203
bequem,comfortable,adjective,,,B1,1204
beraten,to advise,verb,,,B1,1205
berechnen,to calculate,verb,,,B1,1206
bereit,ready,adjective,,,B1,1207
bereits,already,adjective,,,B1,1208
sich beteiligen,to participate,verb,,,B1,1209
betreuen,to supervise,verb,,,B1,1210
betrügen,to deceive,verb,,,B1,1211
betrunken,drunk,verb,,,B1,1212
bevor,before,adjective,,,B1,1213
bewegen,to move or to motivate,verb,,,B1,1214
beweisen,to prove,verb,,,B1,1215
sich bewerben,to apply (for a job or position),verb,,,B1,1216
besetzen,to occupy,verb,,,B1,1217
besichtigen,to inspect,verb,,,B1,1218
besitzen,to own,verb,,,B1,1219
besonders,especially,adjective,,,B1,1220
besorgen,to procure,verb,,,B1,1221
besprechen,to discuss,verb,,,B1,1222
bestätigen,to confirm,verb,,,B1,1223
bestehen,to exist,verb,,,B1,1224
bestellen,to order,verb,,,B1,1225
bestimmt,certain,adjective,,,B1,1226
bestrafen,to punish,verb,,,B1,1227
besuchen,to visit,verb,,,B1,1228
verlieren,to lose,verb,,,B1,1229
Haus,house,noun,das,Häuser,B1,1230
Bitte,request,noun,die,Bitten,B1,1231
bitter,bitter,adjective,,,B1,1232
blass,pale,adjective,,,B1,1233
bleiben,to stay,verb,,,B1,1234
blind,blind,adjective,,,B1,1235
blitzen,to flash,verb,,,B1,1236
blond,blonde,adjective,,,B1,1237
bloß,merely,adjective,,,B1,1238
blühen,to bloom,verb,,,B1,1239
bluten,to bleed,verb,,,B1,1240
bezahlen,to pay,verb,,,B1,1241
bieten,to offer,verb,,,B1,1242
billig,cheap,adjective,,,B1,1243
bisher,until now or so far,adjective,,,B1,1244
bitten,to ask,verb,,,B1,1245
kaufen,to buy,verb,,,B1,1246
bringen,to bring,verb,,,B1,1247
buchen,to book,verb,,,B1,1248
böse,evil,adjective,,,B1,1249
Braten,to roast,verb,,,B1,1250
brauchen,to need,verb,,,B1,1251
brechen,to break,verb,,,B1,1252
breit,wide,adjective,,,B1,1253
bremsen,to brake,verb,,,B1,1254
brennen,to burn,verb,,,B1,1255
mieten,to rent,verb,,,B1,1256
kommen,to come,verb,,,B1,1257
sein,to be,verb,,,B1,1258
da,there,adjective,,,B1,1259
dabei,at the same time,adjective,,,B1,1260
dafür,for it,adjective,,,B1,1261
daher,therefore,adjective,,,B1,1262
dahin,to go,verb,,,B1,1263
buchstabieren,to spell,verb,,,B1,1264
bunt,colorful,adjective,,,B1,1265
lassen,to let,verb,,,B1,1266
losfahren,to drive off,verb,,,B1,1267
dauern,to last,verb,,,B1,1268
dauernd,continually,adjective,,,B1,1269
dekorieren,to decorate,verb,,,B1,1270
denken,to think,verb,,,B1,1271
denn,for,verb,,,B1,1272
derselbe,the same,adjective,,,B1,1273
deshalb,therefore,adjective,,,B1,1274
deswegen,therefore,verb,,,B1,1275
damals,at that time,adjective,,,B1,1276
damit,with it,conjunction,,,B1,1277
danach,after that,adjective,,,B1,1278
daneben,next to it,verb,,,B1,1279
danken,to thank,verb,,,B1,1280
dankbar,grateful,adjective,,,B1,1281
danke,thank you,adjective,,,B1,1282
dann,then,verb,,,B1,1283
darstellen,to represent,verb,,,B1,1284
dass,that,conjunction,,,B1,1285
interessant,interesting,adjective,,,B1,1286
sammeln,to collect,verb,,,B1,1287
lernen,to learn,verb,,,B1,1288
diskutieren,to discuss,verb,,,B1,1289
doch,however,conjunction,,,B1,1290
donnern,to thunder (the act of thunder occurring),verb,,,B1,1291
doppelt,double,adjective,,,B1,1292
dort,there,adverb,,,B1,1293
dorthin,to there,verb,,,B1,1294
draußen,outside,verb,,,B1,1295
deutlich,clearly,adjective,,,B1,1296
dicht,dense,adjective,,,B1,1297
dick,thick,adjective,,,B1,1298
dienen,to serve,verb,,,B1,1299
diesmal,this time,adjective,,,B1,1300
digital,digital,adjective,,,B1,1301
direkt,direct,adjective,,,B1,1302
schon,to spare,verb,,,B1,1303
essen,to eat,verb,,,B1,1304
durcheinander,in a mess,adjective,,,B1,1305
durchschnittlich,average,adjective,,,B1,1306
dürfen,to be allowed to,verb,,,B1,1307
durstig,thirsty,adjective,,,B1,1308
sich duschen,to take a shower,verb,,,B1,1309
duzen,to address someone informally using du,verb,,,B1,1310
eben,to level,verb,,,B1,1311
ebenfalls,also,adjective,,,B1,1312
ebenso,equally,adjective,,,B1,1313
drehen,to turn,verb,,,B1,1314
dringend,urgent/urgently,adjective,,,B1,1315
drin,in it,verb,,,B1,1316
drüben,on the other side,verb,,,B1,1317
drucken,to print,verb,,,B1,1318
drücken,to press,verb,,,B1,1319
dumm,stupid,adjective,,,B1,1320
dunkel,dark,adjective,,,B1,1321
dünn,thin,adjective,,,B1,1322
durch,through,preposition,,,B1,1323
mit,with,preposition,,,B1,1324
eilen,to hurry,verb,,,B1,1325
eilig,urgent,adjective,,,B1,1326
einbrechen,to break in,verb,,,B1,1327
eindeutig,clear,adjective,,,B1,1328
einerseits,on the one hand,adjective,,,B1,1329
einfallen,to occur to someone,verb,,,B1,1330
e-card,electronic card,adjective,,,B1,1331
eckig,angular,adjective,,,B1,1332
egal,regardless,adjective,,,B1,1333
eher,rather,adjective,,,B1,1334
ehrlich,honest,adjective,,,B1,1335
eigentlich,actually,adjective,,,B1,1336
sich eignen,to be suitable,verb,,,B1,1337
schwimmen,to swim,verb,,,B1,1338
einpacken,to pack,verb,,,B1,1339
einrichten,to set up,verb,,,B1,1340
